year,mil_pct_gdp,edu_pct_gdp,health_pct_gdp,gfcf_pct_gdp,net_lending_gdp,renew_pct_elec,fdi_pct_gdp,fiscal_deficit_gdp
1960,2.00401234567901,NA,NA,14.455906652784,NA,NA,NA,NA
1961,2.07435972060536,NA,NA,15.7559572420204,NA,NA,NA,NA
1962,2.74540043290043,NA,NA,15.9663888851805,NA,NA,NA,NA
1963,4.02530602636535,NA,NA,16.3444152182043,NA,NA,NA,NA
1964,3.81923698021801,NA,NA,16.2862880757398,NA,NA,NA,NA
1965,3.87141491395794,NA,NA,17.1201175988915,NA,NA,NA,NA
1966,3.57237064592492,NA,NA,16.7321538272221,NA,NA,NA,NA
1967,3.22392372146778,NA,NA,16.0688033930899,NA,NA,NA,NA
1968,3.24556858467412,NA,NA,16.2085869350539,NA,NA,NA,NA
1969,3.14081455805893,NA,NA,16.1237046729693,NA,NA,NA,NA
1970,3.18518303985171,NA,NA,15.5361588781618,NA,NA,0.0728263243873017,NA
1971,3.65245352356247,NA,NA,16.5857004538559,NA,NA,0.0707631865417858,NA
1972,3.7179474612821,NA,NA,17.0524331665995,NA,NA,0.0248934085415096,NA
1973,3.15864376713433,NA,NA,15.9072851413591,NA,NA,0.0443300179876363,NA
1974,3.20282632441289,NA,NA,16.6044279898112,-0.0856661872827014,NA,0.057240979881568,0.0856661872827014
1975,3.53459878110716,NA,NA,17.7147108391135,0.150212792228915,NA,-0.0104862850298618,-0.150212792228915
1976,3.4778831428908,NA,NA,18.4889478328566,0.128523948147424,NA,-0.00750262532831522,-0.128523948147424
1977,3.16277193712918,NA,NA,18.7901926326154,0.184573642806882,NA,-0.0296822758224169,-0.184573642806882
1978,3.12633170169882,NA,NA,19.3925362346407,-0.107391968148347,NA,0.0131753054300397,0.107391968148347
1979,3.26132865787541,NA,NA,20.3543140219657,-0.907235536490874,NA,0.0317460436775607,0.907235536490874
1980,3.13378132972583,NA,NA,19.676240167639,-1.00365239462519,NA,0.0424840892344642,1.00365239462519
1981,3.18624812218328,NA,NA,19.8672538705789,-0.501807243100934,NA,0.0475059950934485,0.501807243100934
1982,3.34511766555139,NA,NA,21.0145131265752,-0.786527351892456,NA,0.035911504129649,0.786527351892456
1983,3.3230686597074,NA,NA,20.569067756807,-1.2778006107181,NA,0.00258404858226026,1.2778006107181
1984,3.41687559436328,NA,NA,20.8504284661898,-2.00128277356407,NA,0.00906872806015982,2.00128277356407
1985,3.5690302776083,NA,NA,21.8032977678815,-2.27248696448346,NA,0.0456278399036275,2.27248696448346
1986,4.10646868066223,NA,NA,22.9009149864675,-2.92148084767015,NA,0.0472837841556693,2.92148084767015
1987,4.2313175270108,NA,NA,24.4436232619651,-3.07822230003058,NA,0.0760911990543139,3.07822230003058
1988,3.72867178276269,NA,NA,23.5719788859803,-3.06407405918314,NA,0.0307664119671983,3.06407405918314
1989,3.53417972767288,NA,NA,24.5768135640715,-2.74571552152508,NA,0.085156820591001,2.74571552152508
1990,3.14621461029962,NA,NA,26.0821701661635,-3.38633714083737,24.7652606487719,0.0737400205365026,3.38633714083737
1991,2.90997432764267,NA,NA,24.584333789586,-2.24941701494413,23.0664204187271,0.0272255401825464,2.24941701494413
1992,2.70483970561409,NA,NA,25.0894998917615,-2.30663345242329,21.0259677041328,0.0959419487133591,2.30663345242329
1993,2.82354224568723,NA,NA,23.6677562948176,-3.90437165996765,19.8011385156651,0.197056426383431,3.90437165996765
1994,2.66467372708604,NA,NA,23.3588882063134,-2.40392368248284,21.5045147370769,0.297386581392873,2.40392368248284
1995,2.57848357246069,NA,NA,25.1369225017193,-2.18068827030502,17.4889447464526,0.594986329567616,2.18068827030502
1996,2.4727682254674,NA,NA,24.5247871242351,-2.01868924006667,15.9921062813213,0.617479351603705,2.01868924006667
1997,2.64773242601716,3.36137008666992,NA,25.3500521496081,-2.79027832021128,16.2470060008757,0.860208959660141,2.79027832021128
1998,2.72731141679376,3.57257008552551,NA,25.4587677777102,-3.30288882808931,16.9261287505985,0.625286204187864,3.30288882808931
1999,2.95719564743412,4.41538000106812,NA,27.5350924245587,-3.28105722552638,15.5192560358564,0.472644191458928,3.28105722552638
2000,2.94892990622572,4.32480001449585,0.84906155,26.0217848451461,-3.81029698727217,14.0401258332442,0.765211694280817,3.81029698727217
2001,2.9244355462896,NA,0.81879407,29.9323096392457,-4.3480533950568,13.6197629481384,1.05638020993358,4.3480533950568
2002,2.82686683045838,NA,0.78371018,28.3325248092936,-4.66165278845976,12.8005809834912,1.01156946489919,4.66165278845976
2003,2.67777693222748,3.61342000961304,0.76340038,28.3348257062433,-3.43004355011113,11.5191856915079,0.605887857091792,3.43004355011113
2004,2.82875224798105,3.35254001617432,0.72411484,30.7081414238993,-3.25615794219875,12.8708458297682,0.765596855110284,3.25615794219875
2005,2.91058750164482,3.18876004219055,0.77590197,32.7553370362813,-3.23146948310993,14.3659113976406,0.886098378458823,3.23146948310993
2006,2.68038156022763,3.1428499221801798,0.75237411,33.5848915769349,-2.26402820004874,15.9724580053981,2.13016842534495,2.26402820004874
2007,2.47824652803557,NA,0.74839747,35.8128781215224,-0.479110412536923,16.8958319059597,2.07339404668754,0.479110412536923
2008,2.63146078124112,NA,0.8119961,34.7179593535669,-4.97258655315357,17.1072579022733,3.6205232354017,4.97258655315357
2009,3.12938472737472,3.27824997901917,0.90823442,33.9516269299674,-5.51353416873553,15.3504789989236,2.65159033235479,5.51353416873553
2010,2.88946327164641,3.377690076828,0.87431055,33.2300146665612,-3.48058118972693,14.9419430950586,1.6350340943491,3.48058118972693
2011,2.70448222276966,3.79618000984192,0.93731916,34.3134166469557,-3.20649564885787,15.306114125047,2.0020634629993,3.20649564885787
2012,2.61816634758562,3.8675000667572,0.93186861,33.4369343256634,-3.7644761333206,16.2449871875852,1.31293453035323,3.7644761333206
2013,2.5488248901417,3.84467005729675,0.86504197,31.2958008477695,-4.06573304249265,15.2987635527139,1.5162764665975,4.06573304249265
2014,2.54398176462257,3.89878023242693,0.85653549,30.0802370588503,-3.24743717876857,15.8631842012333,1.69565958990806,3.24743717876857
2015,2.45745006060163,4.1145601272583,0.92193186,28.7331441287317,-2.77580962011863,14.8948527456761,2.09211521443253,2.77580962011863
2016,2.54315152114541,4.25406980514526,0.94049966,28.1884378846659,-2.41851614428797,13.5971725653557,1.9373641224439,2.41851614428797
2017,2.53151136056791,4.30543994903565,0.96734685,28.1778136155632,-2.55426517252434,14.1593786090421,1.50731583255894,2.55426517252434
2018,2.42428452604417,4.36374998092651,0.98024821,29.4630681512508,-2.30328908296065,15.0102597827208,1.55821483801456,2.30328908296065
2019,2.5459982314359,3.89732003211975,1.03550148,28.4545443348195,NA,16.8275232132522,1.78482633957161,NA
2020,2.80361581112679,4.29335021972656,1.21139216,27.3243213738562,NA,19.7557474948152,2.40620322673636,NA
2021,2.46874153034185,4.62949991226196,1.35207272,29.5780345158487,NA,19.131292447169,1.41217101040888,NA
2022,2.38309809835882,4.09865814174589,1.37196231,31.2230944361164,-5.10885108605465,NA,1.49248825904,5.10885108605465
2023,2.35679426678262,NA,1.30319667,30.4260455714275,NA,NA,0.771919134264091,NA
2024,2.2712033218142,NA,NA,29.8962309444631,NA,NA,0.694133152879562,NA
2025,NA,NA,NA,NA,NA,NA,NA,NA
