fy_start,n,total_words,share,theme
2019,69,8673,7.955724662746454,Infrastructure
2020,59,8416,7.010456273764259,Infrastructure
2021,107,6930,15.44011544011544,Infrastructure
2022,55,4131,13.313967562333575,Infrastructure
2023,36,5741,6.270684549730012,Infrastructure
2024,33,3544,9.311512415349888,Infrastructure
2025,32,3498,9.148084619782733,Infrastructure
2026,23,3820,6.020942408376963,Infrastructure
2019,25,8673,2.8825089357777007,Green/Climate
2020,41,8416,4.8716730038022815,Green/Climate
2021,35,6930,5.050505050505051,Green/Climate
2022,60,4131,14.524328249818447,Green/Climate
2023,63,5741,10.97369796202752,Green/Climate
2024,37,3544,10.44018058690745,Green/Climate
2025,21,3498,6.003430531732418,Green/Climate
2026,15,3820,3.926701570680628,Green/Climate
2019,74,8673,8.532226449901994,Digital/Tech
2020,50,8416,5.94106463878327,Digital/Tech
2021,26,6930,3.751803751803752,Digital/Tech
2022,65,4131,15.734688937303314,Digital/Tech
2023,46,5741,8.012541369099461,Digital/Tech
2024,36,3544,10.158013544018058,Digital/Tech
2025,31,3498,8.862206975414523,Digital/Tech
2026,30,3820,7.853403141361256,Digital/Tech
2019,141,8673,16.257350397786233,Welfare/Social
2020,187,8416,22.21958174904943,Welfare/Social
2021,146,6930,21.067821067821068,Welfare/Social
2022,83,4131,20.09198741224885,Welfare/Social
2023,93,5741,16.199268420135866,Welfare/Social
2024,100,3544,28.216704288939052,Welfare/Social
2025,97,3498,27.73013150371641,Welfare/Social
2026,72,3820,18.848167539267017,Welfare/Social
2019,58,8673,6.687420731004266,Manufacturing/PLI
2020,64,8416,7.604562737642586,Manufacturing/PLI
2021,63,6930,9.09090909090909,Manufacturing/PLI
2022,65,4131,15.734688937303314,Manufacturing/PLI
2023,55,5741,9.580212506531963,Manufacturing/PLI
2024,64,3544,18.05869074492099,Manufacturing/PLI
2025,70,3498,20.011435105774726,Manufacturing/PLI
2026,59,3820,15.44502617801047,Manufacturing/PLI
2019,25,8673,2.8825089357777007,Fiscal/Deficit
2020,53,8416,6.297528517110266,Fiscal/Deficit
2021,76,6930,10.966810966810966,Fiscal/Deficit
2022,39,4131,9.44081336238199,Fiscal/Deficit
2023,56,5741,9.754398188468908,Fiscal/Deficit
2024,29,3544,8.182844243792324,Fiscal/Deficit
2025,28,3498,8.004574042309892,Fiscal/Deficit
2026,41,3820,10.732984293193716,Fiscal/Deficit
