topic,topic_label,estimate,se,pval,ci_lo,ci_hi,source,sig,direction
1,T1: partition,-0.00428700052770958,0.055178059963091775,0.9382870295127497,-0.11243599805536945,0.10386199699995029,Part A only,,INC higher
2,T2: justice,0.014461557102334436,0.09700308204487577,0.8819045518506745,-0.17566448370562207,0.20458759791029094,Part A only,,BJP higher
3,T3: treasury,-0.01053414489678059,0.08387542179919591,0.9004043342882421,-0.17492997162320456,0.15386168182964338,Part A only,,INC higher
4,T4: crisis,-0.184396169746813,0.09980458515641577,0.06877217755049668,-0.3800131566533879,0.01122081715976192,Part A only,,INC higher
5,T5: ssi,0.3472467035717213,0.10417655550209523,0.0013581532600893743,0.14306065478761468,0.551432752355828,Part A only,**,BJP higher
6,T6: gains,0.008986042121136673,0.09558676726866891,0.9253629186384928,-0.17836402172545437,0.19633610596772774,Part A only,,BJP higher
7,T7: aid,0.026529860692699903,0.0965809312421042,0.7843407193540558,-0.16276876454182432,0.21582848592722415,Part A only,,BJP higher
8,T8: drought,-0.061407862377412074,0.10866283661511682,0.5737468599929472,-0.274387022143041,0.15157129738821687,Part A only,,INC higher
9,T9: upa,-0.3156705593400342,0.07421036473757878,6.22797642740724e-5,-0.4611228742256886,-0.17021824445437977,Part A only,**,INC higher
10,T10: exempt,0.18318830908175046,0.09245791542759678,0.05137522834591973,0.001970794843660778,0.36440582331984017,Part A only,,BJP higher
