doc_id,boundary_line,boundary_pct,method,total_lines,words_parta,words_partb
bs,NA,NA,not_found,581,6609,1
bs194748,NA,NA,not_found,775,10013,1
bs194849,NA,NA,not_found,1159,15402,1
bs194950,NA,NA,not_found,887,11587,1
bs195051,NA,NA,not_found,782,10304,1
bs195152,710,0.71,standalone_partb,994,8976,3806
bs195253_I_,NA,NA,not_found,153,1915,1
bs195253,NA,NA,not_found,342,4455,1
bs195354,NA,NA,not_found,776,9853,1
bs195455,NA,NA,not_found,872,11416,1
bs195556,NA,NA,not_found,973,12259,1
bs195657_November_,NA,NA,not_found,364,4692,1
bs195657,NA,NA,not_found,1035,13317,1
bs195758_I_,NA,NA,not_found,173,2120,1
bs195758,645,0.61,direct_tax_hdr,1049,8076,5136
bs195859,481,0.72,standalone_partb,672,5899,2381
bs195960,581,0.67,standalone_partb,864,7204,3600
bs196061,540,0.68,standalone_partb,795,6586,3187
bs196162,NA,NA,not_found,1042,12849,1
bs196263_I_,NA,NA,not_found,340,4170,1
bs196263,275,0.44,standalone_partb,622,3471,4387
bs196364,405,0.48,standalone_partb,839,5104,5419
bs196465,444,0.44,standalone_partb,998,5668,7192
bs196566_August_,NA,NA,not_found,420,5247,1
bs196566,620,0.67,inline_phrase,920,7858,3949
bs196667,415,0.54,standalone_partb,772,5184,4604
bs196768_I_,NA,NA,not_found,404,4779,1
bs196768,575,0.56,standalone_partb,1018,7023,5506
bs196869,311,0.42,standalone_partb,748,3796,5359
bs196970,215,0.4,standalone_partb,544,2488,4075
bs197071,238,0.39,direct_tax_hdr,617,2824,4780
bs197172,362,0.44,direct_tax_hdr,827,4350,5784
bs197172december,NA,NA,not_found,157,2073,1
bs197273,332,0.45,standalone_partb,735,4015,5073
bs197374,383,0.46,standalone_partb,837,4633,5625
bs197475_july_,204,0.55,inline_phrase,368,2502,2013
bs197475,327,0.49,standalone_partb,670,3818,4088
bs197576,568,0.57,standalone_partb,992,6771,5182
bs197677,632,0.6,standalone_partb,1058,7563,5220
bs197778_I_,NA,NA,not_found,77,800,1
bs197778,548,0.56,standalone_partb,980,6673,5324
bs197879,479,0.53,standalone_partb,911,5784,5311
bs197980,477,0.44,standalone_partb,1072,5669,7354
bs198081_I_,NA,NA,not_found,294,3438,1
bs198081,528,0.48,standalone_partb,1104,6308,7151
bs198182,506,0.51,standalone_partb,994,5969,6013
bs198283,495,0.42,standalone_partb,1185,5833,8525
bs198384,484,0.42,standalone_partb,1146,5747,8239
bs198485,507,0.52,standalone_partb,979,6098,5880
bs198586,567,0.49,standalone_partb,1147,6747,7167
bs198687,691,0.52,standalone_partb,1328,8247,7541
bs198788,440,0.43,standalone_partb,1023,5043,6436
bs198889,723,0.52,standalone_partb,1401,8512,7668
bs198990,598,0.53,standalone_partb,1124,7025,6188
bs199091,533,0.47,standalone_partb,1123,6317,7189
bs199192_I_,NA,NA,not_found,214,2490,1
bs199192,814,0.54,standalone_partb,1520,9734,8976
bs199293,601,0.51,standalone_partb,1184,7108,7320
bs199394,509,0.46,standalone_partb,1099,5830,7195
bs199495,550,0.49,standalone_partb,1112,6265,6848
bs199596,508,0.48,standalone_partb,1060,5738,6516
bs199697_I_,NA,NA,not_found,523,6000,1
bs199697,612,0.56,standalone_partb,1088,6506,5522
bs199798,653,0.6,standalone_partb,1092,6990,5088
bs199899,755,0.54,standalone_partb,1404,8009,7632
bs19992000,695,0.58,standalone_partb,1195,7118,6004
bs200001,718,0.55,standalone_partb,1314,7693,7037
bs200102,1000,0.7,standalone_partb,1434,10116,5257
bs200203,1028,0.67,standalone_partb,1530,10208,6038
bs200304,1135,0.76,inline_phrase,1489,11762,3712
bs200405_I_,NA,NA,not_found,493,5036,1
bs200405,819,0.69,standalone_partb,1185,9037,4538
bs200506,1078,0.74,standalone_partb,1457,10133,4122
bs200607,980,0.73,standalone_partb,1338,9118,4077
bs200708,1017,0.73,standalone_partb,1394,9450,3784
bs201213,978,0.65,standalone_partb,1510,9015,5234
bs201314,NA,NA,not_found,581,6609,1
bs201415,1327,0.74,standalone_partb,1788,12396,4166
bs201516,25,0.01,standalone_partb,1906,58,18013
bs201617,17,0.01,standalone_partb,3362,46,24685
bs201718,19,0.01,standalone_partb,2459,45,18883
bs201819,1084,0.41,standalone_partb,2666,8962,9135
bs201920_I_,833,0.91,standalone_partb,916,7368,808
bs201920,937,0.35,standalone_partb,2685,8115,12142
Budget_Speech_2020-21,52,0.02,standalone_partb,3082,72,21073
Budget_Speech_2021-22,43,0.02,standalone_partb,2634,62,17246
Budget_Speech_2022-23,37,0.02,standalone_partb,1548,52,10056
Budget_Speech_2023-24,39,0.02,standalone_partb,2134,78,13963
Budget_Speech_2024-25_interim,53,0.05,standalone_partb,1031,75,5307
Budget_Speech_2024-25,45,0.02,standalone_partb,2027,78,14892
Budget_Speech_2025-26,41,0.02,standalone_partb,2125,74,14536
Budget_Speech_2026-27,36,0.02,standalone_partb,2261,63,15752
